background_library,driver,gene_name,gene_age,gene_origin,effect_estimate_female,effect_estimate_male,conflict_category
GD,Nos-GAL4,CG16931,11-25MYA,D,0.08860486125859625,0.04556900208895463,neutral_leaning
GD,Nos-GAL4,CG18125,11-25MYA,D,-0.17915155564760968,0.13285730213132171,female_favored_conflict
GD,Nos-GAL4,CG31918,11-25MYA,D,-0.0749983568122897,0.08750959972408284,female_favored_conflict
GD,Nos-GAL4,CG31720,11-25MYA,D,-0.21985762873215497,0.08352490404283061,female_favored_conflict
GD,Nos-GAL4,CG14027,6-11MYA,D,0.24544956025344575,0.2602128554260276,generally_detrimental
GD,Nos-GAL4,CG7815,6-11MYA,R,-0.06654382009698454,0.15953641341366837,female_favored_conflict
GD,Nos-GAL4,CG31941,6-11MYA,D,-0.17175456301548667,-0.04159086571558308,neutral_leaning
GD,Nos-GAL4,CG33490,11-25MYA,D,0.37768711832255775,0.3233724482972103,generally_detrimental
GD,Nos-GAL4,CG5609,6-11MYA,D,0.12135654791267197,0.1671660303080592,generally_detrimental
GD,Nos-GAL4,CG4712,11-25MYA,D,-0.05971298414664618,-0.052376485538343565,neutral_leaning
GD,Nos-GAL4,CG30448,6-11MYA,D,0.2623790571615747,0.12305693804156967,generally_detrimental
GD,Nos-GAL4,CG31932,6-11MYA,D,-0.15389794116486624,0.09796164069353494,female_favored_conflict
GD,Nos-GAL4,CG4691,11-25MYA,D,2.913278651134836e-4,-0.14251769486739335,neutral_leaning
GD,Nos-GAL4,CG14088,6-11MYA,R,0.11441034556143936,0.060826888639554745,neutral_leaning
GD,Nos-GAL4,CG17216,6-11MYA,D,-0.0015473902304047025,-0.09758409257783669,neutral_leaning
GD,Nos-GAL4,CG30037,11-25MYA,D,0.1298074084897672,0.03221146388237219,neutral_leaning
GD,Nos-GAL4,CG2291,6-11MYA,NA,0.049563821599171755,-0.11255841262757232,neutral_leaning
GD,Nos-GAL4,CG18331,0-3MYA,R,-0.15084337924389515,-0.06847836509511462,neutral_leaning
GD,Nos-GAL4,CG31817,6-11MYA,D,0.015097898420458179,0.06525953979952083,neutral_leaning
GD,Nos-GAL4,CG1736,6-11MYA,R,-0.16421832708846978,-0.17665261161074877,generally_beneficial
GD,Nos-GAL4,CG14251,6-11MYA,D,0.1984641769469719,0.08026424596447618,generally_detrimental
GD,Nos-GAL4,CG4259,11-25MYA,D,-0.18624507632253756,-0.08662953809270842,generally_beneficial
GD,Nos-GAL4,CG5213,11-25MYA,NA,0.0056436363813210585,0.02256366977249047,neutral_leaning
GD,Nos-GAL4,CG30473,6-11MYA,D,-0.1210817067867051,0.1299166672510605,female_favored_conflict
GD,Nos-GAL4,CG10799,11-25MYA,D,-0.03807477903581759,0.10792570178560969,neutral_leaning
GD,Nos-GAL4,CG33235,6-11MYA,D,0.07726982083265674,0.24847937057246958,generally_detrimental
GD,Nos-GAL4,CG18228,11-25MYA,D,-0.3351699279663927,-0.1970884731337617,generally_beneficial
GD,Nos-GAL4,CG2826,6-11MYA,D,-0.17712465328442495,-0.2453644696108279,generally_beneficial
GD,Nos-GAL4,CG14719,6-11MYA,D,-0.2520777370002447,-0.1702749705681495,generally_beneficial
GD,Nos-GAL4,CG6208,6-11MYA,R,-0.12560104307420886,-0.17825382576544266,generally_beneficial
GD,Nos-GAL4,CG5103,11-25MYA,D,-0.20820359286080695,-0.23882073953588087,generally_beneficial
GD,Nos-GAL4,CG4477,11-25MYA,D,-0.33029606948888396,-0.108861196937076,generally_beneficial
GD,Nos-GAL4,CG31791,6-11MYA,D,0.22330540682944763,0.18595804548415096,generally_detrimental
GD,Nos-GAL4,CG31002,6-11MYA,D,0.15685320085894439,0.02466951710779729,neutral_leaning
GD,Nos-GAL4,CG7800,11-25MYA,D,0.3550315875090389,0.23823618029065663,generally_detrimental
GD,Nos-GAL4,CG6367,6-11MYA,D,0.11981399204566447,0.11819692806657603,generally_detrimental
GD,Nos-GAL4,CG15635,3-6MYA,R,-0.26032414814947546,-0.2061346868821106,generally_beneficial
GD,Nos-GAL4,CG13402,0-3MYA,D,-0.026113489439323956,-0.03750040489951299,neutral_leaning
GD,Nos-GAL4,CG4478,0-3MYA,D,-0.254289723795281,-0.2167027536592609,generally_beneficial
GD,Nos-GAL4,CG33105,0-3MYA,D,-0.28546486749069117,-0.25472417924073265,generally_beneficial
KK,Nos-GAL4,CG6639,6-11MYA,R,-0.013924356532002673,-0.12816101748020725,neutral_leaning
KK,Nos-GAL4,CG43340,>35MYA,NA,0.061966987770958284,-0.06890523543425187,neutral_leaning
KK,Nos-GAL4,CG16931,11-25MYA,D,0.47247653661694766,0.1299985440272819,generally_detrimental
KK,Nos-GAL4,CG8856,6-11MYA,D,0.18805663643899526,0.08616752784093737,generally_detrimental
KK,Nos-GAL4,CG7157,6-11MYA,D,0.0064477023165804654,0.1009899012950213,neutral_leaning
KK,Nos-GAL4,CG3217,6-11MYA,D,0.048442357919931775,-0.11470113330318679,male_favored_conflict
KK,Nos-GAL4,CG14027,6-11MYA,D,0.026832892143222476,-0.08111519614307239,neutral_leaning
KK,Nos-GAL4,CG33490,11-25MYA,D,-0.12043411449305128,-0.24763157218313916,generally_beneficial
KK,Nos-GAL4,CG31932,6-11MYA,D,0.11053433995412455,-0.05998031673443383,neutral_leaning
KK,Nos-GAL4,CG33533,6-11MYA,D,-0.012360703381789158,-0.17568270882113673,neutral_leaning
KK,Nos-GAL4,CG10090,6-11MYA,D,0.01527389837911819,-0.10060672389774142,neutral_leaning
KK,Nos-GAL4,CG9720,11-25MYA,D,-0.07820467027261356,-0.227751934523959,generally_beneficial
KK,Nos-GAL4,CG32110,6-11MYA,R,0.20263790322587044,0.054471300122933296,neutral_leaning
KK,Nos-GAL4,CG31817,6-11MYA,D,-0.14396277656003853,-0.09119086592164044,generally_beneficial
KK,Nos-GAL4,CG13977,6-11MYA,D,0.02511882974725238,-0.3101242073289226,neutral_leaning
KK,Nos-GAL4,CG30450,11-25MYA,D,-0.18499314092555155,-0.41429563188802826,generally_beneficial
KK,Nos-GAL4,CG5372,6-11MYA,D,0.22495608878660966,-0.08234308840785012,male_favored_conflict
KK,Nos-GAL4,CG14251,6-11MYA,D,-0.1738093618282832,-0.26119366868351085,generally_beneficial
KK,Nos-GAL4,CG32368,6-11MYA,A,0.2551817368424141,0.21607251457847287,generally_detrimental
KK,Nos-GAL4,CG10232,6-11MYA,D,-0.10617941041419984,-0.14857765626641245,generally_beneficial
KK,Nos-GAL4,CG32561,11-25MYA,D,0.12576611295402346,-0.2247230971869681,male_favored_conflict
KK,Nos-GAL4,CG7676,11-25MYA,D,-0.13950670720851638,-0.23879529958514367,generally_beneficial
KK,Nos-GAL4,CG31208,11-25MYA,D,0.2970424822516401,0.09338773903862621,generally_detrimental
KK,Nos-GAL4,CG3410,3-6MYA,D,0.07322364653228981,0.35891862483700065,generally_detrimental
KK,Nos-GAL4,CG31782,11-25MYA,D,0.1626614818778085,0.19108811870564474,generally_detrimental
KK,Nos-GAL4,CG1878,11-25MYA,D,0.015026861683831291,0.014902313560992399,neutral_leaning
KK,Nos-GAL4,CG8953,11-25MYA,R,0.11647897613476609,0.0487987364617605,neutral_leaning
KK,Nos-GAL4,CG15734,11-25MYA,A,0.12038662739342615,0.17607971987786353,generally_detrimental
KK,Nos-GAL4,CG8219,6-11MYA,D,0.2887566879070962,0.15861785185101432,generally_detrimental
KK,Nos-GAL4,CG32580,6-11MYA,D,-0.16322878434142113,-0.25630198665513787,generally_beneficial
KK,Nos-GAL4,CG32853,6-11MYA,D,-0.3484895247192566,-0.3348550875134895,generally_beneficial
KK,Nos-GAL4,CG30150,11-25MYA,D,-0.005051868356608123,-0.2827705960195214,neutral_leaning
KK,Nos-GAL4,CG5662,11-25MYA,R,-0.08774511358455946,-0.03461536039776143,neutral_leaning
KK,Nos-GAL4,CG32283,6-11MYA,D,0.1262587923197863,-0.10743965491555929,male_favored_conflict
KK,Nos-GAL4,CG2885,3-6MYA,D,-0.09239553157876702,-0.15629620115739984,generally_beneficial
KK,Nos-GAL4,CG13686,6-11MYA,D,0.17192519838464104,0.008345663885673548,neutral_leaning
KK,Nos-GAL4,CG10246,11-25MYA,D,-0.06024044324765446,-0.08491552664057359,neutral_leaning
KK,Nos-GAL4,CG1361,6-11MYA,A,0.0018090846209583135,-0.2832631862281214,neutral_leaning
KK,Nos-GAL4,CG6541,11-25MYA,A,0.16294672799798393,-0.2868553518502011,male_favored_conflict
KK,Nos-GAL4,CG4477,11-25MYA,D,-0.095450621874674485,-0.1745719234247875,generally_beneficial
KK,Nos-GAL4,CG40635,0-3MYA,A?,0.2544266498032176,0.16746032661553778,generally_detrimental
KK,Nos-GAL4,CG12725,3-6MYA,D,-0.027336103049626814,-0.06522420452019088,neutral_leaning
KK,Nos-GAL4,CG17440,3-6MYA,D,-0.24455801850477912,-0.37400089085712823,generally_beneficial
KK,Nos-GAL4,CG5334,3-6MYA,D,0.1493433418075918,0.03064181493908272,neutral_leaning
KK,Nos-GAL4,CG12493,3-6MYA,D,-0.16211746229503546,-0.317983493750178,generally_beneficial
KK,Nos-GAL4,CG11942,3-6MYA,D,-0.3655364978459902,-0.3734080191585521,generally_beneficial
KK,Nos-GAL4,CG15578,3-6MYA,D,0.24837334700517866,0.20588778657203735,generally_detrimental
KK,Nos-GAL4,CG14810,3-6MYA,D,0.20526369585258067,0.1794354844492772,generally_detrimental
KK,Nos-GAL4,CG17797,3-6MYA,D,0.12750318715231623,-0.04785241294319711,neutral_leaning
KK,Nos-GAL4,CG31668,0-3MYA,D,-0.18976186180606505,-0.20855236009239875,generally_beneficial
KK,Nos-GAL4,CG1924,3-6MYA,R,0.17409858176818244,-0.11447550269117776,male_favored_conflict
KK,Nos-GAL4,CG18157,3-6MYA,D,0.06160874261794432,-0.11695168926654996,neutral_leaning
KK,Nos-GAL4,CG13402,0-3MYA,D,-0.11332644979697787,0.04249639041837727,neutral_leaning
KK,Nos-GAL4,CG4478,0-3MYA,D,0.15813432245696538,-0.05561750711231229,neutral_leaning
KK,Nos-GAL4,CR31953,0-3MYA,D,-0.08913328963626166,0.062399290802885206,neutral_leaning
KK,Nos-GAL4,CR32821,0-3MYA,D,0.013281770884307431,0.11415780545668508,neutral_leaning
KK,Nos-GAL4,CG33105,0-3MYA,D,0.10524732531931985,-0.09458921261523129,male_favored_conflict
